Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2023/3/21,0,0,0,0,53.4,0,0,0,0,0,0,4.4,0,0,1.4,0,0,0,0.2,0,0,0,3.6,0,0,1,1.3,6.4,0,0,3.1,0,0,7.1,0,0,0,0,0,0,17,0,0,6.5,2.7,0,0,0,0,3
2023/3/22,0,0,0,0,10.8,0.8,0,0,0,0,0,9.3,0,0,0,0,0,0,0.1,0,0,0,10.9,0,0,0,0,2.4,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0,3.3,0,0,9.1,0.8,0,0,0,3.3,19.2
2023/3/23,0,0.2,0,0,0.4,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.6,0.1,0.4,0,0,0,0,0,0,0,0,0.8,0,0,0,9,0,0,5.6,0.4,0,0,0,13.3,0
2023/3/24,0,0.1,0,0,0.1,0.1,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,10.4,0.1,0,0,0,0,0
2023/3/25,0,0,0,0,0.7,0.3,0,0,0,0,0,5.5,0,0.1,0,0,0,0,1.9,0,3.2,4.5,0.9,0,0,10.1,0,0.1,7.1,0,0,0,0,0,0,0,2.6,0,0,0,0.6,0,0,0,15.2,0,0,0,0,0.9
2023/3/26,0,0,0,0,0.5,0,0,0,0,0,0,5,0,0,1,0,0,0,14.3,0,0,0,0,0,0,2.5,9.9,0.1,3.8,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4.5,1.5,0,0,0,0,2.1
2023/3/27,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,3.5,1.5,0,0,0,0,0,4.8,0,0,4,0.4,6.6,0,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0.4,0,0,0,0.4,0,0,0,0.6,0.6
2023/3/28,0,1.6,0,0,49.8,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0.1,0,8.3,0,0,0,0,0,0.6,1.3,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0.3,0,0,2.3,0,0
2023/3/29,0,0,0,0,12,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.1,0,11.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.1,0,0,0,6.4,0
2023/3/30,0,1,0,0,7.2,0.5,0.1,0,0,0,0,12.9,0,0,0,0,0,0,4.8,0,1.5,0,7.8,0,0,6.9,0,0.5,0.1,0,0,0,0,3,0,0,0,0.3,1.7,0,0,0,0,12.7,3.6,0,0,0,0,0.7
2023/3/31,0,2.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.5,0,0,4.8,0,0,0,0,1.8,0,0,0,0,0,0,1.6,0,0,1.4,8,0,0,0,0,1.1
2023/4/1,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,1.6,0,0,0,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,2.8,0,0,0,14.7,0
